file_path,run_id,probabilistic,q,c,accuracy
checkpoints\associative_recall_p698x50f_deterministic_q1_c8.npy,p698x50f,deterministic,1,8,1.0
checkpoints\associative_recall_eiw4cq27_deterministic_q1_c10.npy,eiw4cq27,deterministic,1,10,1.0
checkpoints\associative_recall_gskyrpcx_deterministic_q1_c12.npy,gskyrpcx,deterministic,1,12,1.0
checkpoints\associative_recall_jrsnes2b_deterministic_q1_c14.npy,jrsnes2b,deterministic,1,14,0.78571427
checkpoints\associative_recall_7w0qodc5_deterministic_q1_c16.npy,7w0qodc5,deterministic,1,16,0.6875
checkpoints\associative_recall_qnqdy280_deterministic_q1_c18.npy,qnqdy280,deterministic,1,18,0.6666667
checkpoints\associative_recall_oqbok9hd_deterministic_q1_c20.npy,oqbok9hd,deterministic,1,20,0.6
checkpoints\associative_recall_9lhf18ae_deterministic_q16_c8.npy,9lhf18ae,deterministic,16,8,1.0
checkpoints\associative_recall_fsg0prtj_deterministic_q16_c10.npy,fsg0prtj,deterministic,16,10,1.0
checkpoints\associative_recall_1w2vjwbu_deterministic_q16_c12.npy,1w2vjwbu,deterministic,16,12,0.5833333
checkpoints\associative_recall_isoidyqm_deterministic_q16_c14.npy,isoidyqm,deterministic,16,14,0.5714286
checkpoints\associative_recall_imwzzyur_deterministic_q16_c16.npy,imwzzyur,deterministic,16,16,0.4375
checkpoints\associative_recall_61f3zx9y_deterministic_q16_c18.npy,61f3zx9y,deterministic,16,18,0.44444445
checkpoints\associative_recall_nei40xzg_deterministic_q16_c20.npy,nei40xzg,deterministic,16,20,0.25
checkpoints\associative_recall_r3e4qzx0_deterministic_q32_c8.npy,r3e4qzx0,deterministic,32,8,1.0
checkpoints\associative_recall_txir4fid_deterministic_q32_c10.npy,txir4fid,deterministic,32,10,1.0
checkpoints\associative_recall_g0famop6_deterministic_q32_c12.npy,g0famop6,deterministic,32,12,1.0
checkpoints\associative_recall_qvmdoc7n_deterministic_q32_c14.npy,qvmdoc7n,deterministic,32,14,0.5714286
checkpoints\associative_recall_nymrrqyh_deterministic_q32_c16.npy,nymrrqyh,deterministic,32,16,0.5625
checkpoints\associative_recall_w1b68z0w_deterministic_q32_c18.npy,w1b68z0w,deterministic,32,18,0.6666667
checkpoints\associative_recall_baimmrs1_deterministic_q32_c20.npy,baimmrs1,deterministic,32,20,0.2
checkpoints\associative_recall_w8jdyt6a_deterministic_q100_c8.npy,w8jdyt6a,deterministic,100,8,1.0
checkpoints\associative_recall_ul6bq1lj_deterministic_q100_c10.npy,ul6bq1lj,deterministic,100,10,1.0
checkpoints\associative_recall_71f3wc2e_deterministic_q100_c12.npy,71f3wc2e,deterministic,100,12,1.0
checkpoints\associative_recall_8nul2ao4_deterministic_q100_c14.npy,8nul2ao4,deterministic,100,14,0.71428573
checkpoints\associative_recall_bwjxhhwz_deterministic_q100_c16.npy,bwjxhhwz,deterministic,100,16,0.3125
checkpoints\associative_recall_keef83lp_deterministic_q100_c18.npy,keef83lp,deterministic,100,18,0.44444445
checkpoints\associative_recall_rb3sg0a8_deterministic_q100_c20.npy,rb3sg0a8,deterministic,100,20,0.25
checkpoints\associative_recall_6bs1wzj3_random_q1_c8.npy,6bs1wzj3,random,1,8,1.0
checkpoints\associative_recall_2uide0m3_random_q1_c10.npy,2uide0m3,random,1,10,1.0
checkpoints\associative_recall_n44x6f1b_random_q1_c12.npy,n44x6f1b,random,1,12,1.0
checkpoints\associative_recall_1o3k2koi_random_q1_c14.npy,1o3k2koi,random,1,14,0.85714287
checkpoints\associative_recall_mvmnwy44_random_q1_c16.npy,mvmnwy44,random,1,16,0.75
checkpoints\associative_recall_7kktvqzu_random_q1_c18.npy,7kktvqzu,random,1,18,0.6666667
checkpoints\associative_recall_n75jpnop_random_q1_c20.npy,n75jpnop,random,1,20,0.6
checkpoints\associative_recall_nvpk3rkt_random_q16_c8.npy,nvpk3rkt,random,16,8,1.0
checkpoints\associative_recall_9zawmyum_random_q16_c10.npy,9zawmyum,random,16,10,1.0
checkpoints\associative_recall_muuopk9g_random_q16_c12.npy,muuopk9g,random,16,12,1.0
checkpoints\associative_recall_k4jzk2sd_random_q16_c14.npy,k4jzk2sd,random,16,14,0.85714287
checkpoints\associative_recall_us7pqbkq_random_q16_c16.npy,us7pqbkq,random,16,16,0.6875
checkpoints\associative_recall_8v30w91v_random_q16_c18.npy,8v30w91v,random,16,18,0.3888889
checkpoints\associative_recall_53vak94d_random_q16_c20.npy,53vak94d,random,16,20,0.3
checkpoints\associative_recall_2jhjvne7_random_q32_c8.npy,2jhjvne7,random,32,8,1.0
checkpoints\associative_recall_xr0jynen_random_q32_c10.npy,xr0jynen,random,32,10,1.0
checkpoints\associative_recall_v54wyhvp_random_q32_c12.npy,v54wyhvp,random,32,12,0.8333333
checkpoints\associative_recall_5ljfrms6_random_q32_c14.npy,5ljfrms6,random,32,14,0.5714286
checkpoints\associative_recall_2oi6o56g_random_q32_c16.npy,2oi6o56g,random,32,16,0.3125
checkpoints\associative_recall_3tkotr2k_random_q32_c18.npy,3tkotr2k,random,32,18,0.5
checkpoints\associative_recall_a9cq3pjo_random_q32_c20.npy,a9cq3pjo,random,32,20,0.3
checkpoints\associative_recall_2tckliau_random_q100_c8.npy,2tckliau,random,100,8,1.0
checkpoints\associative_recall_4u3bqy60_random_q100_c10.npy,4u3bqy60,random,100,10,1.0
checkpoints\associative_recall_075xew01_random_q100_c12.npy,075xew01,random,100,12,0.75
checkpoints\associative_recall_3u94d7c7_random_q100_c14.npy,3u94d7c7,random,100,14,0.71428573
checkpoints\associative_recall_eeklchyw_random_q100_c16.npy,eeklchyw,random,100,16,0.4375
checkpoints\associative_recall_xj25akki_random_q100_c18.npy,xj25akki,random,100,18,0.2777778
checkpoints\associative_recall_jad814n7_random_q100_c20.npy,jad814n7,random,100,20,0.25
checkpoints\associative_recall_xmt1bijl_single_seed_q1_c8.npy,xmt1bijl,single_seed,1,8,1.0
checkpoints\associative_recall_9s8remqt_single_seed_q1_c10.npy,9s8remqt,single_seed,1,10,1.0
checkpoints\associative_recall_swey6mwp_single_seed_q1_c12.npy,swey6mwp,single_seed,1,12,1.0
checkpoints\associative_recall_e7x1587q_single_seed_q1_c14.npy,e7x1587q,single_seed,1,14,0.71428573
checkpoints\associative_recall_2uv3ssbd_single_seed_q1_c16.npy,2uv3ssbd,single_seed,1,16,0.75
checkpoints\associative_recall_argk62o0_single_seed_q1_c18.npy,argk62o0,single_seed,1,18,0.7222222
checkpoints\associative_recall_20a3lex8_single_seed_q1_c20.npy,20a3lex8,single_seed,1,20,0.65
checkpoints\associative_recall_3emjtz9u_single_seed_q16_c8.npy,3emjtz9u,single_seed,16,8,1.0
checkpoints\associative_recall_myg7b20j_single_seed_q16_c10.npy,myg7b20j,single_seed,16,10,1.0
checkpoints\associative_recall_ci78c0kp_single_seed_q16_c12.npy,ci78c0kp,single_seed,16,12,1.0
checkpoints\associative_recall_wf5lrb37_single_seed_q16_c14.npy,wf5lrb37,single_seed,16,14,0.78571427
checkpoints\associative_recall_yaxctu6s_single_seed_q16_c16.npy,yaxctu6s,single_seed,16,16,0.25
checkpoints\associative_recall_3j99hcko_single_seed_q16_c18.npy,3j99hcko,single_seed,16,18,0.44444445
checkpoints\associative_recall_z3oi1h7l_single_seed_q16_c20.npy,z3oi1h7l,single_seed,16,20,0.4
checkpoints\associative_recall_a3kbatm0_single_seed_q32_c8.npy,a3kbatm0,single_seed,32,8,1.0
checkpoints\associative_recall_u3a8hbkl_single_seed_q32_c10.npy,u3a8hbkl,single_seed,32,10,1.0
checkpoints\associative_recall_hor7f7am_single_seed_q32_c12.npy,hor7f7am,single_seed,32,12,1.0
checkpoints\associative_recall_opg9jzps_single_seed_q32_c14.npy,opg9jzps,single_seed,32,14,0.5
checkpoints\associative_recall_mfjny5ck_single_seed_q32_c16.npy,mfjny5ck,single_seed,32,16,0.6875
checkpoints\associative_recall_wdyl64ns_single_seed_q32_c18.npy,wdyl64ns,single_seed,32,18,0.22222222
checkpoints\associative_recall_xez4s1q8_single_seed_q32_c20.npy,xez4s1q8,single_seed,32,20,0.2
checkpoints\associative_recall_wb2a3rk8_single_seed_q100_c8.npy,wb2a3rk8,single_seed,100,8,1.0
checkpoints\associative_recall_oaqkmwwv_single_seed_q100_c10.npy,oaqkmwwv,single_seed,100,10,1.0
checkpoints\associative_recall_nr76il49_single_seed_q100_c12.npy,nr76il49,single_seed,100,12,0.75
checkpoints\associative_recall_ructvq4e_single_seed_q100_c14.npy,ructvq4e,single_seed,100,14,0.85714287
checkpoints\associative_recall_l83uw6r1_single_seed_q100_c16.npy,l83uw6r1,single_seed,100,16,0.625
checkpoints\associative_recall_v6d0q3yk_single_seed_q100_c18.npy,v6d0q3yk,single_seed,100,18,0.2777778
checkpoints\associative_recall_m5b2cy5x_single_seed_q100_c20.npy,m5b2cy5x,single_seed,100,20,0.25
